May 17 22:31:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 613 | Sample Timeout Handler
May 17 22:34:00 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:00 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:00 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_sim.c SimToolkitHandler() 931 | Update SIM Card information after a refresh
May 17 22:34:01 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c RetrieveSimApplicationType() 1942 | More than one application 2)
May 17 22:34:01 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa_default T=main | pa_sim_default.c pa_sim_GetCardEID() 121 | Unsupported function called
May 17 22:34:01 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:01 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:01 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c PacketSwitchHandler() 1973 | New PS state unknown PS state 5
May 17 22:34:01 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:01 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:05 swi-mdm9x15 user.err Legato: =ERR= | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 21
May 17 22:34:05 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 21
May 17 22:34:05 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_mrc.c NetworkRejectIndHandler() 1410 | Network Reject Ind Handler called with RAT.5, mcc. and mnc.
May 17 22:34:07 swi-mdm9x15 user.err Legato: =ERR= | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 21
May 17 22:34:07 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 21
May 17 22:34:07 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_mrc.c NetworkRejectIndHandler() 1410 | Network Reject Ind Handler called with RAT.5, mcc. and mnc.
May 17 22:34:07 swi-mdm9x15 user.err Legato: =ERR= | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 3
May 17 22:34:07 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 3
May 17 22:34:07 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_mrc.c NetworkRejectIndHandler() 1410 | Network Reject Ind Handler called with RAT.5, mcc. and mnc.
May 17 22:34:12 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:12 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:13 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:13 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:13 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:13 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c InternalSimToolkitHandler() 1448 | QMI_UIM_REFRESH_COMPLETE_REQ_V01: Err 0 resp 0
May 17 22:34:13 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:14 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:14 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_sim.c SimToolkitHandler() 931 | Update SIM Card information after a refresh
May 17 22:34:14 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c RetrieveSimApplicationType() 1942 | More than one application 2)
May 17 22:34:14 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa_default T=main | pa_sim_default.c pa_sim_GetCardEID() 121 | Unsupported function called
May 17 22:34:14 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:14 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:14 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:14 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:14 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/modemDaemon T=main | le_mdc.c le_mdc_IsIPv6() 1733 | Could not get the Session Type
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/modemDaemon T=main | le_mdc.c le_mdc_IsIPv4() 1699 | Could not get the Session Type
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c SetRouteConfiguration() 1134 | Profile is not using IPv4 nor IPv6
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c SetDefaultRouteAndDns() 1308 | Failed to set configuration route
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartDataSession() 1413 | Delaying data connection attempt.
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c PacketSwitchHandler() 1973 | New PS state unknown PS state 5
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c PacketSwitchHandler() 1973 | New PS state unknown PS state 5
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcClient.c BearerEventCb() 251 | Connected 1
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/modemDaemon T=main | le_mdc.c le_mdc_IsIPv6() 1733 | Could not get the Session Type
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | avcDaemon[1195]/avcDaemon T=main | avcClient.c ConnectionStateHandler() 317 | Disconnected from data connection service, current state 1
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcClient.c BearerEventCb() 251 | Connected 0
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | avcDaemon[1195]/avcDaemon T=main | osTimer.c lwm2mcore_TimerStop() 173 | Unable to stop the timer
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 66 | AV Session State Handler 1
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 74 | Lost AV session
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 75 | Releasing AV session
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 662 | AV Session State Handler 1
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 670 | Lost AV session
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 671 | Releasing AV session
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c avSessionStateHandler() 1069 | AV Session State Handler 1
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | sensorToCloud[3476]/avPublisher T=main | avPublisher.c avSessionStateHandler() 1086 | Lost AV session
May 17 22:34:15 swi-mdm9x15 user.warn Legato: -WRN- | sensorToCloud[3476]/avPublisher T=main | avPublisher.c avSessionStateHandler() 1087 | Starting session retry timer
May 17 22:34:15 swi-mdm9x15 user.info Legato:  INFO | avcControl[1014]/avcControl T=main | avcControl.c StatusHandler() 167 | Air Vantage agent reported update status: SESSION_STOPPED
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | avcDaemon[1195]/avcDaemon T=main | avData.c le_avdata_ReleaseSession() 3839 | Invalid session request reference (nil)
May 17 22:34:15 swi-mdm9x15 user.err Legato: =ERR= | avcDaemon[1195]/avcDaemon T=main | avData.c le_avdata_ReleaseSession() 3839 | Invalid session request reference (nil)
May 17 22:34:16 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:34:16 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:34:16 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:34:16 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:34:17 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:17 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:21 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:21 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:34:21 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:35:15 swi-mdm9x15 user.err Legato: =ERR= | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 13
May 17 22:35:15 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 13
May 17 22:35:15 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_mrc.c NetworkRejectIndHandler() 1410 | Network Reject Ind Handler called with RAT.5, mcc. and mnc.
May 17 22:35:16 swi-mdm9x15 user.err Legato: =ERR= | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 14
May 17 22:35:16 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c EventReportHandler() 1433 | Network Registration failed error code 14
May 17 22:35:16 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_mrc.c NetworkRejectIndHandler() 1410 | Network Reject Ind Handler called with RAT.5, mcc. and mnc.
May 17 22:36:48 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:36:48 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:36:48 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c PacketSwitchHandler() 1973 | New PS state unknown PS state 5
May 17 22:36:48 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:36:49 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c InternalSimToolkitHandler() 1448 | QMI_UIM_REFRESH_COMPLETE_REQ_V01: Err 0 resp 0
May 17 22:36:49 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:36:49 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:36:49 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:36:49 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_sim.c SimToolkitHandler() 931 | Update SIM Card information after a refresh
May 17 22:36:50 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c RetrieveSimApplicationType() 1942 | More than one application 2)
May 17 22:36:50 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa_default T=main | pa_sim_default.c pa_sim_GetCardEID() 121 | Unsupported function called
May 17 22:36:50 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:36:50 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:36:50 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c PacketSwitchHandler() 1973 | New PS state unknown PS state 5
May 17 22:36:50 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:36:50 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:36:57 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sessionTimerHandler() 1104 | No AV session timeout handler
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sessionTimerHandler() 1107 | Releasing AV session
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sessionTimerHandler() 1111 | Attempting to Re-requesting AV session
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sessionTimerHandler() 1117 | AirVantage Connection Controller started.
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c updateSensors() 515 | Updating sensorConfig...
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/gps_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/pressure1_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/humidity1_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital1_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital2_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartTechSession() 1563 | Device is attached, ready to start a data session
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital3_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital4_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/bilge1_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/shorepwr1_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/pir1_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/pushbtn1_showOnGrid:-21
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/temp1_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog1_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog2_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog3_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog4_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/accelerometer_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/cellstrength_showOnGrid:-1
May 17 22:37:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c updateSensors() 520 | Updating sensorConfig complete
May 17 22:37:26 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c AddNameserversToResolvConf() 310 | Set DNS '8.8.8.8' '4.2.2.2'
May 17 22:37:26 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c SetDefaultRouteAndDns() 1330 | DNS configuration is set successfully
May 17 22:37:31 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcClient.c BearerEventCb() 251 | Connected 1
May 17 22:37:32 swi-mdm9x15 user.err Legato: =ERR= | secStore[1105]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_SWI_SFS_OPEN_REQ_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=48.[0x30]
May 17 22:37:34 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcServer.c ProcessUserAgreement() 1472 | Broadcast notification to applications
May 17 22:37:34 swi-mdm9x15 user.info Legato:  INFO | avcControl[1014]/avcControl T=main | avcControl.c StatusHandler() 167 | Air Vantage agent reported update status: AUTHENTICATION_STARTED
May 17 22:37:35 swi-mdm9x15 user.err Legato: =ERR= | secStore[1105]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_SWI_SFS_OPEN_REQ_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=48.[0x30]
May 17 22:37:35 swi-mdm9x15 user.err Legato: =ERR= | secStore[1105]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_SWI_SFS_OPEN_REQ_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=48.[0x30]
May 17 22:37:38 swi-mdm9x15 user.err Legato: =ERR= | avcDaemon[1195]/avcDaemon T=main | avcFs.c ReadFs() 41 | failed to open /avc/packageDownloader/packageUri: LE_NOT_FOUND
May 17 22:37:38 swi-mdm9x15 user.err Legato: =ERR= | avcDaemon[1195]/avcDaemon T=main | packageDownloader.c packageDownloader_GetResumeInfo() 323 | Failed to read /avc/packageDownloader/packageUri: LE_NOT_FOUND
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcAppUpdate.c NotifyObj9List() 691 | Found 9 object 9 instances
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcAppUpdate.c NotifyObj9List() 692 | obj9ListLen; 116 obj9List: </lwm2m/9/0>,</lwm2m/9/1>,</lwm2m/9/2>,</lwm2m/9/3>,</lwm2m/9/4>,</lwm2m/9/5>,</lwm2m/9/6>,</lwm2m/9/7>,</lwm2m/9/8>
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | push.c push_Retry() 261 | Push Retry
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | avcDaemon[1195]/avcDaemon T=main | avcServer.c ProcessUserAgreement() 1472 | Broadcast notification to applications
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 66 | AV Session State Handler 0
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | errorService[1042]/errorHandler T=main | errorHandler.c avSessionStateHandler() 70 | Got AirVantage data session
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 662 | AV Session State Handler 0
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | photoService[1079]/photoManager T=main | photoManager.c avSessionStateHandler() 666 | Got AirVantage data session
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c avSessionStateHandler() 1069 | AV Session State Handler 0
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c avSessionStateHandler() 1075 | Got AirVantage data session, starting sampling
May 17 22:37:38 swi-mdm9x15 user.info Legato:  INFO | avcControl[1014]/avcControl T=main | avcControl.c StatusHandler() 167 | Air Vantage agent reported update status: SESSION_STARTED
May 17 22:37:43 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 613 | Sample Timeout Handler
May 17 22:37:43 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item gps triggered publish
May 17 22:37:46 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item pressure1 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item humidity1 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item digital1 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item digital2 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item digital3 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item digital4 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item bilge1 triggered publish
May 17 22:37:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item shorepwr1 triggered publish
